State,        Action 1,  Action 2,  Action 3,  Action 4,  Action 5,  Action 6,  Action 7,  Action 8,  Action 9
--- --- --x, -6.151510, -6.151510, -6.151510, -6.151510, -0.299754, -6.151510, -6.151510, -6.151510,     -    
--- --- -x-, -6.151510, -0.299754, -6.151510, -6.151510, -0.299754, -6.151510, -0.299754,     -    , -0.299754
--- --- oxx,  5.723900, -0.246610, -7.471000,  5.723900, -0.246610, -7.471000,     -    ,     -    ,     -    
--- --- x--, -6.151510, -6.151510, -6.151510, -6.151510, -0.299754, -6.151510,     -    , -6.151510, -6.151510
--- --- xox, -7.471000, -7.471000, -7.471000, -7.471000, -0.246610, -7.471000,     -    ,     -    ,     -    
--- --- xxo, -7.471000, -0.246610,  5.723900, -7.471000, -0.246610,  5.723900,     -    ,     -    ,     -    
--- --o -xx, -9.100000, -9.100000, -9.100000, -9.100000, -9.100000,     -    , -7.471000,     -    ,     -    
--- --o x-x, -9.100000, -9.100000, -9.100000, -9.100000, -9.100000,     -    ,     -    , -7.471000,     -    
--- --o xx-, -9.100000, -9.100000, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    ,  5.723900
--- --x ---, -6.151510, -6.151510, -0.299754, -0.299754, -0.299754,     -    , -6.151510, -6.151510, -0.299754
--- --x -ox, -9.100000, -9.100000, -7.471000, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    
--- --x -xo, -7.471000, -0.246610, -7.471000, -0.246610, -0.246610,     -    , -7.471000,     -    ,     -    
--- --x o-x, -9.100000, -9.100000, -7.471000, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    
--- --x ox-,  5.723900, -0.246610, -7.471000, -6.151510, -0.246610,     -    ,     -    ,     -    , -7.471000
--- --x x-o, -7.471000, -7.471000, -7.471000, -0.246610, -0.246610,     -    ,     -    , -7.471000,     -    
--- --x xo-, -7.471000, -7.471000, -7.471000, -7.471000, -0.246610,     -    ,     -    ,     -    , -7.471000
--- -o- -xx, -9.100000, -9.100000, -9.100000, -9.100000,     -    , -9.100000, -0.246610,     -    ,     -    
--- -o- x-x, -9.100000, -9.100000, -9.100000, -9.100000,     -    , -9.100000,     -    , -0.246610,     -    
--- -o- xx-, -9.100000, -9.100000, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    , -0.246610
--- -ox --x, -9.100000, -9.100000, -0.246610, -9.100000,     -    ,     -    , -9.100000, -9.100000,     -    
--- -ox -x-, -7.471000, -7.471000, -0.246610, -7.471000,     -    ,     -    , -0.246610,     -    , -0.246610
--- -ox oxx, -9.100000, -9.100000,  9.000000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
--- -ox x--, -7.471000, -0.246610, -0.246610, -7.471000,     -    ,     -    ,     -    , -0.246610, -0.246610
--- -ox xox, -9.100000,  9.000000, -0.181000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
--- -ox xxo,  9.000000, -0.181000, -0.181000, -0.181000,     -    ,     -    ,     -    ,     -    ,     -    
--- -x- ---, -0.299754, -6.151510, -0.299754, -6.151510,     -    , -6.151510, -0.299754, -6.151510, -0.299754
--- -x- -ox, -7.471000, -9.100000, -9.100000, -9.100000,     -    , -9.100000, -9.100000,     -    ,     -    
--- -x- -xo, -9.100000, -0.246610, -9.100000, -9.100000,     -    , -9.100000, -9.100000,     -    ,     -    
--- -x- o-x, -0.246610, -9.100000, -9.100000, -9.100000,     -    , -9.100000,     -    , -9.100000,     -    
--- -x- ox-, -9.100000, -0.246610, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    , -9.100000
--- -x- x-o, -9.100000, -9.100000, -0.246610, -9.100000,     -    , -9.100000,     -    , -9.100000,     -    
--- -x- xo-, -9.100000, -9.100000, -7.471000, -9.100000,     -    , -9.100000,     -    ,     -    , -9.100000
--- -xo --x, -7.471000, -9.100000, -9.100000, -9.100000,     -    ,     -    , -9.100000, -9.100000,     -    
--- -xo -x-, -9.100000, -7.471000, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    , -9.100000
--- -xo oxx, -9.100000, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
--- -xo x--, -9.100000, -9.100000, -7.471000, -9.100000,     -    ,     -    ,     -    , -9.100000, -9.100000
--- -xo xox, -9.100000, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
--- -xo xxo, -9.100000, -9.100000,  9.000000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
--- -xx --o, -9.100000, -9.100000, -9.100000, -0.246610,     -    ,     -    , -9.100000, -9.100000,     -    
--- -xx -o-, -9.100000, -9.100000, -9.100000, -7.471000,     -    ,     -    , -9.100000,     -    , -9.100000
--- -xx o--, -9.100000, -9.100000, -9.100000, -0.246610,     -    ,     -    ,     -    , -9.100000, -9.100000
--- -xx oox, -9.100000, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
--- -xx oxo, -9.100000, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
--- -xx xoo, -9.100000, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
--- o-- -xx, -9.100000, -9.100000, -9.100000,     -    , -9.100000, -9.100000,  5.723900,     -    ,     -    
--- o-- x-x, -9.100000, -9.100000, -9.100000,     -    , -9.100000, -9.100000,     -    , -7.471000,     -    
--- o-- xx-, -9.100000, -9.100000, -9.100000,     -    , -9.100000, -9.100000,     -    ,     -    , -7.471000
--- o-x --x, -9.100000, -9.100000, -0.246610,     -    , -9.100000,     -    , -9.100000, -9.100000,     -    
--- o-x -x-, -6.151510, -7.471000, -0.246610,     -    , -7.471000,     -    , -6.151510,     -    , -0.246610
--- o-x oxx,  9.000000, -9.100000,  7.190000,     -    , -9.100000,     -    ,     -    ,     -    ,     -    
--- o-x x--, -7.471000, -7.471000, -0.246610,     -    , -7.471000,     -    ,     -    , -7.471000, -0.246610
--- o-x xox, -9.100000, -9.100000, -0.181000,     -    , -9.100000,     -    ,     -    ,     -    ,     -    
--- o-x xxo, -7.471000, -0.181000, -0.181000,     -    , -0.181000,     -    ,     -    ,     -    ,     -    
--- oox -xx, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    , -9.100000,     -    ,     -    
--- oox x-x, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    , -9.100000,     -    
--- oox xx-, -9.100000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    , -0.181000
--- ox- --x, -7.471000, -9.100000, -9.100000,     -    ,     -    , -9.100000, -9.100000, -9.100000,     -    
--- ox- -x-, -9.100000, -7.471000, -9.100000,     -    ,     -    , -9.100000, -9.100000,     -    , -9.100000
--- ox- oxx,  9.000000, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    ,     -    
--- ox- x--, -9.100000, -9.100000, -7.471000,     -    ,     -    , -9.100000,     -    , -9.100000, -9.100000
--- ox- xox, -9.100000, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    ,     -    
--- ox- xxo, -9.100000, -9.100000, -9.100000,     -    ,     -    , -9.100000,     -    ,     -    ,     -    
