State,        Action 1,  Action 2,  Action 3,  Action 4,  Action 5,  Action 6,  Action 7,  Action 8,  Action 9
--- --- ---, -0.730221, -0.730221, -0.730221, -0.730221, -0.730221, -0.730221, -0.730221, -0.730221, -0.730221
--- --- -ox, -0.778051, -0.778051,  5.723900, -0.778051,  5.723900,  5.723900, -0.778051,     -    ,     -    
--- --- -xo, -0.778051, -6.151510, -0.778051, -6.151510, -0.778051, -0.778051, -6.151510,     -    ,     -    
--- --- o-x,  5.723900, -0.778051,  5.723900, -0.778051, -0.778051,  5.723900,     -    , -6.151510,     -    
--- --- ox-, -0.778051, -6.151510, -0.778051, -0.778051, -0.778051, -6.151510,     -    ,     -    , -6.151510
--- --- x-o,  5.723900, -0.778051,  5.723900,  5.723900, -0.778051, -0.778051,     -    , -6.151510,     -    
--- --- xo-,  5.723900, -0.778051, -0.778051,  5.723900,  5.723900, -0.778051,     -    ,     -    , -0.778051
--- --o --x, -0.778051, -0.778051, -0.778051, -0.778051,  5.723900,     -    ,  5.723900,  5.723900,     -    
--- --o -x-, -0.778051, -6.151510, -0.778051, -0.778051,  5.723900,     -    , -6.151510,     -    ,  5.723900
--- --o oxx, -7.471000, -7.471000, -7.471000, -0.837100,  7.190000,     -    ,     -    ,     -    ,     -    
--- --o x--,  5.723900, -0.778051, -0.778051, -0.778051,  5.723900,     -    ,     -    , -6.151510,  5.723900
--- --o xox,  7.190000, -0.837100, -7.471000, -0.837100,  7.190000,     -    ,     -    ,     -    ,     -    
--- --o xxo, -9.100000, -9.100000, -7.471000, -9.100000, -9.100000,     -    ,     -    ,     -    ,     -    
--- --x --o, -0.778051, -6.151510, -6.151510, -6.151510, -0.778051,     -    , -0.778051, -0.778051,     -    
--- --x -o-, -0.778051, -0.778051, -6.151510, -6.151510,  5.723900,     -    , -0.778051,     -    ,  5.723900
--- --x o--, -0.778051, -6.151510, -6.151510, -6.151510, -0.778051,     -    ,     -    , -6.151510,  5.723900
--- --x oox,  7.190000,  5.723900,  9.000000,  7.190000,  7.190000,     -    ,     -    ,     -    ,     -    
--- --x oxo, -0.837100, -7.471000, -7.471000, -7.471000,  7.190000,     -    ,     -    ,     -    ,     -    
--- --x xoo,  5.723900,  5.723900, -7.471000,  7.190000,  7.190000,     -    ,     -    ,     -    ,     -    
--- -o- --x, -0.778051, -0.778051, -0.778051, -0.778051,     -    , -0.778051, -0.778051, -0.778051,     -    
--- -o- -x-, -0.778051, -6.151510, -0.778051, -0.778051,     -    , -0.778051, -0.778051,     -    , -0.778051
--- -o- oxx, -9.100000, -9.100000, -0.837100, -9.100000,     -    , -9.100000,     -    ,     -    ,     -    
--- -o- x--, -0.778051, -0.778051, -0.778051, -0.778051,     -    , -0.778051,     -    , -0.778051, -0.778051
--- -o- xox, -9.100000, -0.837100, -9.100000, -9.100000,     -    , -9.100000,     -    ,     -    ,     -    
